player,pos,team,rebounds,assists,steals,blocks,points
Jamal Murray,SG,DEN,214,170,51,24,811
Mike Muscala,C,ATL,240,95,30,41,435
Larry Nance,PF,LAL,369,96,82,39,449
Shabazz Napier,PG,POR,61,67,32,2,218
Maurice Ndour,PF,NYK,64,8,15,8,98
Gary Neal,SG,ATL,1,1,0,0,4
Jameer Nelson,PG,DEN,192,385,54,8,687
Raul Neto,PG,UTA,30,34,21,5,100
Georges Niang,PF,IND,17,5,3,0,21
Andrew Nicholson,PF,TOT,61,10,16,6,100
Joakim Noah,C,NYK,403,103,30,37,232
Nerlens Noel,C,TOT,294,50,65,50,445
Lucas Nogueira,C,TOR,244,42,52,89,253
Steve Novak,PF,MIL,3,0,0,0,5
Dirk Nowitzki,PF,DAL,353,82,30,38,769
Jusuf Nurkic,C,TOT,467,123,50,74,662
David Nwaba,SG,LAL,63,14,13,7,120
Johnny O'Bryant,PF,TOT,19,6,0,1,38
Kyle O'Quinn,C,NYK,439,117,36,104,496
Daniel Ochefu,C,WAS,22,3,2,0,24
Jahlil Okafor,C,PHI,240,58,20,49,590
Victor Oladipo,SG,OKC,291,176,78,21,1067
Kelly Olynyk,C,BOS,361,148,43,29,678
Arinze Onuaku,C,ORL,6,2,0,1,4
Chinanu Onuaku,C,HOU,10,3,3,1,14
Kelly Oubre,SF,WAS,261,47,58,17,501
Zaza Pachulia,C,GSW,410,132,59,33,426
Georgios Papagiannis,C,SAC,86,20,3,17,124
Jabari Parker,PF,MIL,314,142,50,22,1025
Tony Parker,PG,SAS,113,285,34,2,638
Chandler Parsons,SF,MEM,84,55,20,5,210
Lamar Patterson,SG,ATL,7,6,1,0,9
Patrick Patterson,PF,TOR,293,76,40,23,445
Chris Paul,PG,LAC,304,563,119,8,1104
Adreian Payne,PF,MIN,33,7,8,7,63
Cameron Payne,PG,TOT,48,55,14,4,160
Elfrid Payton,PG,ORL,387,529,88,40,1046
Gary Payton,PG,MIL,12,13,3,4,20
Paul Pierce,SF,LAC,48,10,4,5,81
Marshall Plumlee,C,NYK,51,10,4,4,40
Mason Plumlee,C,TOT,605,284,69,92,842
Miles Plumlee,C,TOT,95,21,18,13,113
Jakob Poeltl,C,TOR,165,12,17,20,165
Otto Porter,SF,WAS,514,121,116,42,1075
Bobby Portis,PF,CHI,296,35,16,11,437
Kristaps Porzingis,PF,NYK,475,97,47,129,1196
Dwight Powell,C,DAL,306,49,61,39,516
Norman Powell,SG,TOR,169,82,52,14,636
